,Demand,Generation,ANM Generation,Non-ANM Generation,speed,deg,pressure,temp,hour,day,month,weekday,Core Zone,Zone 1,Zone 1A,Zone 2,Zone 2A,Zone 2B,Zone 3,Zone 4,Zone 4A,Curtailment
2018-12-01 00:00:00,17.55,36.545,18.503,18.042,6.0,230.0,995.0,4.0,1,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 00:10:00,17.76,36.057,18.494,17.563,6.0,230.0,995.0,4.0,1,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 00:20:00,16.4,35.037000000000006,18.039,16.998,6.0,230.0,995.0,4.0,1,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 00:30:00,15.89,34.57,17.63,16.94,6.0,230.0,995.0,4.0,1,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 00:40:00,16.1,35.956,18.317,17.639,6.0,230.0,995.0,4.0,1,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 00:50:00,16.4,35.152,17.433,17.719,6.0,230.0,995.0,4.0,1,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 01:00:00,16.92,35.455,17.994,17.461,5.0,230.0,996.0,4.0,2,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 01:10:00,18.59,36.348,18.839,17.509,5.0,230.0,996.0,4.0,2,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 01:20:00,18.37,35.953,18.276,17.677,5.0,230.0,996.0,4.0,2,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 01:30:00,18.34,36.272999999999996,18.617,17.656,5.0,230.0,996.0,4.0,2,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 01:40:00,19.12,35.566,17.832,17.734,5.0,230.0,996.0,4.0,2,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 01:50:00,19.88,36.435,18.886,17.549,5.0,230.0,996.0,4.0,2,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 02:00:00,18.62,36.406,18.762,17.644,5.0,230.0,997.0,4.0,3,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 02:10:00,18.66,36.238,18.19,18.048,5.0,230.0,997.0,4.0,3,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 02:20:00,18.4,35.692,17.851,17.841,5.0,230.0,997.0,4.0,3,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 02:30:00,17.91,35.962,18.144,17.818,5.0,230.0,997.0,4.0,3,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 02:40:00,18.11,36.189,18.396,17.793,5.0,230.0,997.0,4.0,3,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 02:50:00,17.67,35.552,17.79,17.762,5.0,230.0,997.0,4.0,3,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 03:00:00,17.57,36.442,18.451,17.991,5.0,230.0,997.0,5.0,4,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 03:10:00,17.87,36.391999999999996,18.73,17.662,5.0,230.0,997.0,5.0,4,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 03:20:00,17.75,36.851,18.716,18.135,5.0,230.0,997.0,5.0,4,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 03:30:00,17.7,36.535,18.723,17.812,5.0,230.0,997.0,5.0,4,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
2018-12-01 03:40:00,17.66,36.692,19.038,17.654,5.0,230.0,997.0,5.0,4,2,13,6,0.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0
