Date,Hour,Minute,Second,PlantNo,Error,Wind Mean (M/S),Wind Max (M/S),Wind Min (M/S),mrwSmpNRot,prwSmpNRot,lrwSmpNRot,Power Mean (Kw),Power Max (Kw),Power Min (Kw),mrwAbGoPos,arwAbWorkH,arwAbW,arwAbWrkM,mrwSmpQ,prwSmpQ,lrwSmpQ,,,,,,,,,,,,,
12/1/2018,0,0,0,1,0,13.3,16.7,11.1,17.00,18.17,16.15,14,26,6,-465,38335,13152016,10,2,6,-3,806,806,806,0,30.66,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,0,10,0,1,0,14.1,18.0,10.9,12.48,17.73,5.62,0,18,0,-462,38335,13152016,10,0,10,0,851,851,391,0,42.54,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,0,20,0,1,0,15.9,19.5,11.7,15.89,17.17,14.95,0,0,0,-464,38335,13152016,10,0,0,0,891,891,891,140,36.00,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,0,30,0,1,0,15.9,19.2,11.3,13.43,35.56,5.77,65,914,0,-464,38335,13152027,11,-19,30,-284,894,894,482,570,45.13,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,0,40,0,1,0,13.1,18.4,10.6,27.71,34.46,11.84,608,922,0,-459,38335,13152130,19,-187,6,-284,872,872,870,642,12.43,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,0,50,0,1,0,13.0,18.0,10.3,33.38,34.69,31.86,872,932,618,-454,38335,13152276,29,-270,-178,-286,877,877,875,877,2.47,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,1,0,0,1,0,11.5,14.6,8.8,32.69,34.79,30.87,753,919,371,-465,38335,13152403,39,-231,-104,-284,764,764,764,764,1.03,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,1,10,0,1,0,14.9,24.5,9.7,33.33,35.42,31.53,862,935,507,-459,38335,13152548,49,-267,-146,-287,857,857,854,857,6.84,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,1,20,0,1,0,15.9,21.5,12.0,18.51,34.78,11.51,227,930,0,-456,38335,13152586,52,-70,30,-286,884,884,883,229,33.26,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
12/1/2018,1,30,0,1,0,19.2,25.0,14.2,20.95,32.68,11.69,141,357,0,-455,38335,13152610,57,-40,9,-99,908,908,908,164,35.62,65.535,65.535,65.535,6553.5,6553.5,6553.5,65535,65535
