GD P,GD FF,WT P,WT FF, OT FF, Eday Wind, GDWT FF
89.13,90.66,77.41,77.12,67.11,82.84,90.56
90.75,91.71,78.74,78.65,66.73,84.08,92.66
90.18,90.85,78.74,79.6 ,32.60,83.22,91.33
90.85,91.33,79.22,80.46,34.60,86.08,92.37
88.08,87.42,78.27,78.27,32.41,81.89,89.80
90.37,67.78,79.12,79.5 ,67.78,87.51,90.56
90.09,89.32,77.41,77.03,65.30,79.98,89.99
90.94,89.8,78.27,78.74 ,64.82,81.98,88.94
90.09,90.94,77.69,75.41,32.98,85.61,90.37
89.22,87.21,76.72,74.9 ,35.02,76.91,86.64
89.32,90.47,77.88,77.98,33.94,81.89,89.99
90.09,90.18,79.69,79.12,33.56,82.27,91.04
63.97,90.37,79.69,79.6 ,63.97,82.84,90.66
91.04,91.13,76.93,77.79,65.01,83.51,91.71
89.7,90.37,78.27,77.22 ,35.18,81.22,90.37
90.37,91.23,78.46,78.27,67.30,85.22,91.80
90.75,89.23,76.55,77.03,31.36,84.84,91.42
89.61,91.42,77.88,79.03,65.68,84.65,91.61
89.8,90.47,79.31,78.74 ,68.64,84.18,90.94
32.44,90.08,77.58,73.66,32.44,84.92,90.17
